Unnamed: 0,tmsp,country,amount,success,PSP,3D_secured,card,attempt_group,hour,day_of_week,PSP_encoded,card_encoded
62,2019-01-01 01:11:31,Germany,14,0,UK_Card,0,Master,35,1,1,3,1
63,2019-01-01 01:12:36,Germany,175,0,Moneycard,0,Visa,35,1,1,1,2
64,2019-01-01 01:13:02,Germany,175,0,Simplecard,0,Visa,36,1,1,2,2
65,2019-01-01 01:13:05,Germany,175,1,Simplecard,0,Visa,37,1,1,2,2
66,2019-01-01 01:14:10,Germany,270,0,Simplecard,0,Master,37,1,1,2,1
67,2019-01-01 01:14:59,Germany,270,0,UK_Card,0,Master,38,1,1,3,1
68,2019-01-01 01:17:19,Austria,256,0,UK_Card,0,Master,38,1,1,3,1
69,2019-01-01 01:17:30,Austria,256,0,UK_Card,0,Master,39,1,1,3,1
70,2019-01-01 01:18:30,Austria,256,0,UK_Card,0,Master,39,1,1,3,1
71,2019-01-01 01:18:37,Austria,256,1,Moneycard,0,Master,40,1,1,1,1
72,2019-01-01 01:19:43,Germany,310,0,Goldcard,0,Visa,40,1,1,0,2
73,2019-01-01 01:20:37,Germany,310,0,Simplecard,0,Visa,41,1,1,2,2
74,2019-01-01 01:20:51,Germany,310,0,UK_Card,0,Visa,42,1,1,3,2
75,2019-01-01 01:21:40,Germany,310,0,UK_Card,0,Visa,43,1,1,3,2
76,2019-01-01 01:21:43,Germany,310,0,Simplecard,0,Visa,44,1,1,2,2
77,2019-01-01 01:21:47,Germany,310,0,UK_Card,0,Visa,45,1,1,3,2
78,2019-01-01 01:22:11,Germany,310,1,UK_Card,0,Visa,46,1,1,3,2
79,2019-01-01 01:23:24,Austria,239,0,Simplecard,0,Master,46,1,1,2,1
80,2019-01-01 01:26:31,Germany,37,0,UK_Card,0,Master,46,1,1,3,1
81,2019-01-01 01:26:51,Germany,37,0,Simplecard,0,Master,47,1,1,2,1
82,2019-01-01 01:27:10,Germany,37,0,Moneycard,0,Master,48,1,1,1,1
84,2019-01-01 01:28:02,Germany,37,0,UK_Card,0,Master,49,1,1,3,1
83,2019-01-01 01:28:02,Germany,37,0,UK_Card,0,Master,50,1,1,3,1
85,2019-01-01 01:28:53,Germany,37,0,Simplecard,0,Master,51,1,1,2,1
86,2019-01-01 01:35:33,Germany,56,0,Simplecard,1,Visa,51,1,1,2,2
87,2019-01-01 01:35:55,Germany,56,0,UK_Card,1,Visa,52,1,1,3,2
88,2019-01-01 01:35:56,Germany,56,0,Moneycard,1,Visa,53,1,1,1,2
89,2019-01-01 01:36:57,Germany,192,0,Goldcard,1,Diners,53,1,1,0,0
90,2019-01-01 01:37:01,Germany,192,0,Simplecard,1,Diners,54,1,1,2,0
91,2019-01-01 01:38:15,Germany,324,0,UK_Card,0,Visa,54,1,1,3,2
92,2019-01-01 01:38:22,Germany,324,0,UK_Card,0,Visa,55,1,1,3,2
93,2019-01-01 01:38:37,Germany,324,0,UK_Card,0,Visa,56,1,1,3,2
94,2019-01-01 01:38:55,Germany,324,1,Simplecard,0,Visa,57,1,1,2,2
95,2019-01-01 01:40:49,Germany,105,0,UK_Card,0,Master,57,1,1,3,1
96,2019-01-01 01:41:08,Germany,105,0,Simplecard,0,Master,58,1,1,2,1
97,2019-01-01 01:42:01,Germany,105,0,UK_Card,0,Master,59,1,1,3,1
98,2019-01-01 01:42:20,Germany,105,0,Moneycard,0,Master,60,1,1,1,1
99,2019-01-01 01:43:15,Germany,105,0,Goldcard,0,Master,61,1,1,0,1
100,2019-01-01 01:44:16,Germany,228,0,UK_Card,0,Diners,61,1,1,3,0
101,2019-01-01 01:44:25,Germany,228,0,UK_Card,0,Diners,62,1,1,3,0
102,2019-01-01 01:45:17,Germany,228,1,UK_Card,0,Diners,63,1,1,3,0
103,2019-01-01 01:46:23,Germany,322,0,UK_Card,0,Master,63,1,1,3,1
104,2019-01-01 01:47:23,Germany,322,0,Moneycard,0,Master,63,1,1,1,1
105,2019-01-01 01:54:24,Austria,367,0,Moneycard,0,Visa,63,1,1,1,2
106,2019-01-01 01:55:08,Austria,367,0,UK_Card,0,Visa,64,1,1,3,2
107,2019-01-01 01:55:17,Austria,367,1,UK_Card,0,Visa,65,1,1,3,2
108,2019-01-01 01:57:28,Switzerland,190,0,UK_Card,0,Diners,65,1,1,3,0
109,2019-01-01 01:57:29,Switzerland,190,0,Simplecard,0,Diners,66,1,1,2,0
110,2019-01-01 01:58:00,Switzerland,190,0,UK_Card,0,Diners,67,1,1,3,0
111,2019-01-01 01:58:54,Switzerland,190,0,UK_Card,0,Diners,68,1,1,3,0
112,2019-01-01 01:59:14,Switzerland,190,0,UK_Card,0,Diners,69,1,1,3,0
113,2019-01-01 02:01:48,Germany,186,0,UK_Card,0,Master,69,2,1,3,1
114,2019-01-01 02:02:01,Germany,186,1,UK_Card,0,Master,70,2,1,3,1
115,2019-01-01 02:03:39,Germany,121,0,Moneycard,1,Master,70,2,1,1,1
116,2019-01-01 02:03:52,Germany,121,0,UK_Card,1,Master,71,2,1,3,1
117,2019-01-01 02:04:19,Germany,121,1,UK_Card,1,Master,72,2,1,3,1
118,2019-01-01 02:06:48,Germany,274,1,UK_Card,0,Master,72,2,1,3,1
119,2019-01-01 02:08:53,Germany,264,0,Simplecard,1,Master,72,2,1,2,1
120,2019-01-01 02:10:05,Germany,132,0,UK_Card,0,Master,72,2,1,3,1
121,2019-01-01 02:10:07,Germany,132,0,Simplecard,0,Master,73,2,1,2,1
122,2019-01-01 02:10:33,Germany,132,0,Moneycard,0,Master,74,2,1,1,1
123,2019-01-01 02:10:49,Germany,132,0,Simplecard,0,Master,75,2,1,2,1
124,2019-01-01 02:11:16,Germany,132,0,Moneycard,0,Master,76,2,1,1,1
125,2019-01-01 02:13:13,Germany,228,0,Simplecard,0,Diners,76,2,1,2,0
126,2019-01-01 02:14:18,Switzerland,279,0,UK_Card,1,Master,76,2,1,3,1
127,2019-01-01 02:14:51,Switzerland,279,0,Simplecard,1,Master,77,2,1,2,1
128,2019-01-01 02:14:59,Switzerland,279,0,UK_Card,1,Master,78,2,1,3,1
129,2019-01-01 02:15:16,Switzerland,279,1,UK_Card,1,Master,79,2,1,3,1
130,2019-01-01 02:16:34,Austria,104,1,Moneycard,0,Master,79,2,1,1,1
131,2019-01-01 02:18:06,Switzerland,184,0,Simplecard,0,Master,79,2,1,2,1
132,2019-01-01 02:20:08,Austria,258,0,UK_Card,0,Diners,79,2,1,3,0
133,2019-01-01 02:24:07,Austria,209,1,UK_Card,0,Master,79,2,1,3,1
134,2019-01-01 02:25:56,Germany,260,0,UK_Card,0,Master,79,2,1,3,1
135,2019-01-01 02:25:58,Germany,260,0,UK_Card,0,Master,80,2,1,3,1
136,2019-01-01 02:26:36,Germany,260,0,UK_Card,0,Master,81,2,1,3,1
137,2019-01-01 02:26:40,Germany,260,0,Moneycard,0,Master,82,2,1,1,1
138,2019-01-01 02:28:50,Switzerland,383,0,UK_Card,0,Master,82,2,1,3,1
139,2019-01-01 02:30:02,Germany,109,0,Moneycard,0,Master,82,2,1,1,1
140,2019-01-01 02:31:15,Austria,161,0,Simplecard,0,Master,82,2,1,2,1
141,2019-01-01 02:33:00,Germany,127,0,Simplecard,0,Master,82,2,1,2,1
142,2019-01-01 02:33:24,Germany,127,0,Moneycard,0,Master,83,2,1,1,1
143,2019-01-01 02:33:39,Germany,127,0,Moneycard,0,Master,84,2,1,1,1
144,2019-01-01 02:36:48,Germany,233,1,Simplecard,1,Visa,84,2,1,2,2
145,2019-01-01 02:38:38,Germany,129,0,UK_Card,1,Master,84,2,1,3,1
146,2019-01-01 02:39:30,Germany,129,0,Goldcard,1,Master,85,2,1,0,1
147,2019-01-01 02:39:31,Germany,129,0,UK_Card,1,Master,86,2,1,3,1
148,2019-01-01 02:40:04,Germany,129,1,UK_Card,1,Master,87,2,1,3,1
149,2019-01-01 02:43:05,Germany,243,0,Simplecard,0,Master,87,2,1,2,1
150,2019-01-01 02:43:06,Germany,243,0,Moneycard,0,Master,88,2,1,1,1
151,2019-01-01 02:43:11,Germany,243,1,UK_Card,0,Master,89,2,1,3,1
152,2019-01-01 02:47:14,Switzerland,131,0,UK_Card,0,Master,89,2,1,3,1
153,2019-01-01 02:47:19,Switzerland,131,1,UK_Card,0,Master,90,2,1,3,1
154,2019-01-01 02:48:32,Germany,225,0,UK_Card,0,Master,90,2,1,3,1
155,2019-01-01 02:49:50,Switzerland,246,0,Simplecard,0,Diners,90,2,1,2,0
156,2019-01-01 02:55:25,Germany,126,1,UK_Card,1,Diners,90,2,1,3,0
157,2019-01-01 02:56:37,Germany,82,0,UK_Card,1,Master,90,2,1,3,1
158,2019-01-01 02:57:03,Germany,82,0,UK_Card,1,Master,91,2,1,3,1
159,2019-01-01 02:57:45,Germany,82,0,UK_Card,1,Master,92,2,1,3,1
160,2019-01-01 02:58:13,Germany,82,0,UK_Card,1,Master,93,2,1,3,1
161,2019-01-01 02:58:32,Germany,82,1,Moneycard,1,Master,94,2,1,1,1
162,2019-01-01 02:59:36,Austria,329,0,UK_Card,0,Master,94,2,1,3,1
163,2019-01-01 02:59:57,Austria,329,0,Moneycard,0,Master,95,2,1,1,1
164,2019-01-01 03:00:27,Austria,329,1,UK_Card,0,Master,96,3,1,3,1
165,2019-01-01 03:02:33,Germany,335,1,UK_Card,0,Master,96,3,1,3,1
166,2019-01-01 03:09:31,Germany,173,0,UK_Card,1,Master,96,3,1,3,1
167,2019-01-01 03:10:10,Germany,173,1,UK_Card,1,Master,97,3,1,3,1
168,2019-01-01 03:13:08,Germany,222,0,UK_Card,0,Master,97,3,1,3,1
169,2019-01-01 03:13:20,Germany,222,1,UK_Card,0,Master,98,3,1,3,1
170,2019-01-01 03:17:18,Switzerland,181,0,Simplecard,1,Master,98,3,1,2,1
171,2019-01-01 03:18:01,Switzerland,181,0,Simplecard,1,Master,99,3,1,2,1
172,2019-01-01 03:18:15,Switzerland,181,0,UK_Card,1,Master,100,3,1,3,1
173,2019-01-01 03:19:14,Switzerland,181,1,Simplecard,1,Master,101,3,1,2,1
174,2019-01-01 03:22:08,Germany,85,0,Goldcard,1,Diners,101,3,1,0,0
175,2019-01-01 03:22:11,Germany,85,0,UK_Card,1,Diners,102,3,1,3,0
176,2019-01-01 03:22:19,Germany,85,0,UK_Card,1,Diners,103,3,1,3,0
177,2019-01-01 03:23:13,Germany,85,0,Simplecard,1,Diners,104,3,1,2,0
178,2019-01-01 03:24:09,Germany,85,1,UK_Card,1,Diners,105,3,1,3,0
179,2019-01-01 03:29:48,Germany,62,0,Moneycard,0,Master,105,3,1,1,1
180,2019-01-01 03:29:55,Germany,62,0,UK_Card,0,Master,106,3,1,3,1
181,2019-01-01 03:30:54,Germany,62,0,UK_Card,0,Master,107,3,1,3,1
182,2019-01-01 03:31:51,Germany,62,0,UK_Card,0,Master,108,3,1,3,1
183,2019-01-01 03:31:52,Germany,62,0,UK_Card,0,Master,109,3,1,3,1
184,2019-01-01 03:32:31,Germany,62,0,UK_Card,0,Master,110,3,1,3,1
185,2019-01-01 03:32:58,Germany,62,0,Goldcard,0,Master,111,3,1,0,1
186,2019-01-01 03:35:19,Austria,291,0,UK_Card,0,Master,111,3,1,3,1
187,2019-01-01 03:35:29,Austria,291,1,UK_Card,0,Master,112,3,1,3,1
188,2019-01-01 03:38:02,Germany,107,1,UK_Card,1,Master,112,3,1,3,1
189,2019-01-01 03:42:38,Switzerland,78,0,Moneycard,0,Diners,112,3,1,1,0
190,2019-01-01 03:45:09,Germany,22,0,UK_Card,1,Master,112,3,1,3,1
191,2019-01-01 03:45:52,Germany,22,0,UK_Card,1,Master,113,3,1,3,1
192,2019-01-01 03:46:26,Germany,22,0,UK_Card,1,Master,114,3,1,3,1
193,2019-01-01 03:49:09,Switzerland,164,1,Moneycard,0,Master,114,3,1,1,1
194,2019-01-01 03:50:52,Switzerland,203,0,Simplecard,0,Master,114,3,1,2,1
195,2019-01-01 03:51:37,Switzerland,203,0,Simplecard,0,Master,115,3,1,2,1
196,2019-01-01 03:52:59,Germany,277,0,UK_Card,0,Diners,115,3,1,3,0
197,2019-01-01 03:53:27,Germany,277,0,Simplecard,0,Diners,116,3,1,2,0
198,2019-01-01 03:53:51,Germany,277,0,Simplecard,0,Diners,117,3,1,2,0
199,2019-01-01 03:56:43,Germany,105,1,Simplecard,0,Master,117,3,1,2,1
200,2019-01-01 03:59:51,Germany,239,0,UK_Card,1,Visa,117,3,1,3,2
201,2019-01-01 04:00:03,Germany,239,1,UK_Card,1,Visa,118,4,1,3,2
202,2019-01-01 04:01:23,Austria,113,0,Moneycard,1,Visa,118,4,1,1,2
203,2019-01-01 04:02:01,Austria,113,1,UK_Card,1,Visa,119,4,1,3,2
204,2019-01-01 04:03:26,Austria,379,1,UK_Card,0,Master,119,4,1,3,1
205,2019-01-01 04:04:46,Austria,175,0,UK_Card,1,Master,119,4,1,3,1
206,2019-01-01 04:06:29,Switzerland,84,0,Moneycard,1,Master,119,4,1,1,1
207,2019-01-01 04:10:35,Switzerland,268,0,Simplecard,1,Diners,119,4,1,2,0
208,2019-01-01 04:11:16,Switzerland,268,0,UK_Card,1,Diners,120,4,1,3,0
209,2019-01-01 04:11:24,Switzerland,268,1,Simplecard,1,Diners,121,4,1,2,0
210,2019-01-01 04:12:37,Germany,129,0,Simplecard,0,Master,121,4,1,2,1
211,2019-01-01 04:13:18,Germany,129,0,Simplecard,0,Master,122,4,1,2,1
212,2019-01-01 04:13:25,Germany,129,0,Simplecard,0,Master,123,4,1,2,1
213,2019-01-01 04:13:43,Germany,129,1,UK_Card,0,Master,124,4,1,3,1
214,2019-01-01 04:16:02,Austria,224,0,Goldcard,0,Master,124,4,1,0,1
215,2019-01-01 04:16:10,Austria,224,0,UK_Card,0,Master,125,4,1,3,1
216,2019-01-01 04:17:04,Austria,224,0,Simplecard,0,Master,126,4,1,2,1
217,2019-01-01 04:17:21,Austria,224,0,UK_Card,0,Master,127,4,1,3,1
218,2019-01-01 04:18:01,Austria,224,0,UK_Card,0,Master,128,4,1,3,1
219,2019-01-01 04:18:19,Austria,224,1,UK_Card,0,Master,129,4,1,3,1
220,2019-01-01 04:20:19,Germany,242,1,UK_Card,0,Master,129,4,1,3,1
221,2019-01-01 04:22:20,Germany,45,0,Simplecard,0,Master,129,4,1,2,1
222,2019-01-01 04:22:37,Germany,45,1,UK_Card,0,Master,130,4,1,3,1
223,2019-01-01 04:23:49,Germany,322,0,UK_Card,0,Visa,130,4,1,3,2
224,2019-01-01 04:24:42,Germany,322,0,UK_Card,0,Visa,131,4,1,3,2
225,2019-01-01 04:25:07,Germany,322,0,Moneycard,0,Visa,132,4,1,1,2
226,2019-01-01 04:25:15,Germany,322,1,UK_Card,0,Visa,133,4,1,3,2
227,2019-01-01 04:26:17,Austria,164,0,UK_Card,1,Master,133,4,1,3,1
228,2019-01-01 04:26:34,Austria,164,0,UK_Card,1,Master,134,4,1,3,1
229,2019-01-01 04:26:39,Austria,164,0,UK_Card,1,Master,135,4,1,3,1
230,2019-01-01 04:27:10,Austria,164,0,Simplecard,1,Master,136,4,1,2,1
231,2019-01-01 04:27:57,Austria,164,0,Simplecard,1,Master,137,4,1,2,1
232,2019-01-01 04:28:40,Austria,164,0,Simplecard,1,Master,138,4,1,2,1
233,2019-01-01 04:29:29,Austria,164,0,Simplecard,1,Master,139,4,1,2,1
234,2019-01-01 04:31:35,Germany,158,0,Moneycard,0,Master,139,4,1,1,1
235,2019-01-01 04:34:29,Germany,140,0,Moneycard,0,Master,139,4,1,1,1
236,2019-01-01 04:35:48,Switzerland,13,0,Moneycard,0,Diners,139,4,1,1,0
237,2019-01-01 04:35:56,Switzerland,13,0,UK_Card,0,Diners,140,4,1,3,0
238,2019-01-01 04:37:24,Germany,85,0,UK_Card,0,Master,140,4,1,3,1
239,2019-01-01 04:37:29,Germany,85,0,UK_Card,0,Master,141,4,1,3,1
240,2019-01-01 04:38:05,Germany,85,0,Simplecard,0,Master,142,4,1,2,1
241,2019-01-01 04:38:53,Germany,85,1,Simplecard,0,Master,143,4,1,2,1
242,2019-01-01 04:40:02,Germany,197,0,Goldcard,0,Master,143,4,1,0,1
243,2019-01-01 04:41:39,Switzerland,215,0,Moneycard,0,Master,143,4,1,1,1
244,2019-01-01 04:44:28,Germany,151,0,UK_Card,0,Master,143,4,1,3,1
245,2019-01-01 04:44:40,Germany,151,0,Simplecard,0,Master,144,4,1,2,1
246,2019-01-01 04:45:10,Germany,151,0,Simplecard,0,Master,145,4,1,2,1
247,2019-01-01 04:45:22,Germany,151,0,Moneycard,0,Master,146,4,1,1,1
248,2019-01-01 04:46:10,Germany,151,0,UK_Card,0,Master,147,4,1,3,1
249,2019-01-01 04:47:04,Germany,151,1,Simplecard,0,Master,148,4,1,2,1
250,2019-01-01 04:49:47,Germany,208,0,UK_Card,0,Visa,148,4,1,3,2
251,2019-01-01 04:49:52,Germany,208,0,Moneycard,0,Visa,149,4,1,1,2
252,2019-01-01 04:49:57,Germany,208,0,Goldcard,0,Visa,150,4,1,0,2
253,2019-01-01 04:50:31,Germany,208,0,UK_Card,0,Visa,151,4,1,3,2
254,2019-01-01 04:50:57,Germany,208,0,Goldcard,0,Visa,152,4,1,0,2
255,2019-01-01 04:52:15,Austria,221,0,Simplecard,0,Master,152,4,1,2,1
256,2019-01-01 04:52:22,Austria,221,0,UK_Card,0,Master,153,4,1,3,1
257,2019-01-01 04:53:10,Austria,221,0,Simplecard,0,Master,154,4,1,2,1
258,2019-01-01 04:53:27,Austria,221,1,Goldcard,0,Master,155,4,1,0,1
259,2019-01-01 04:54:39,Germany,257,0,Goldcard,0,Master,155,4,1,0,1
260,2019-01-01 04:56:48,Germany,116,0,Moneycard,0,Visa,155,4,1,1,2
261,2019-01-01 04:59:25,Germany,209,0,UK_Card,1,Master,155,4,1,3,1
262,2019-01-01 05:01:33,Austria,263,0,Moneycard,1,Visa,155,5,1,1,2
263,2019-01-01 05:02:30,Austria,263,0,UK_Card,1,Visa,156,5,1,3,2
264,2019-01-01 05:02:31,Austria,263,1,Simplecard,1,Visa,157,5,1,2,2
265,2019-01-01 05:04:33,Germany,84,0,Simplecard,0,Master,157,5,1,2,1
266,2019-01-01 05:05:39,Austria,136,1,UK_Card,1,Master,157,5,1,3,1
267,2019-01-01 05:06:46,Switzerland,211,0,Goldcard,0,Master,157,5,1,0,1
268,2019-01-01 05:07:27,Switzerland,211,0,UK_Card,0,Master,158,5,1,3,1
269,2019-01-01 05:07:37,Switzerland,211,1,UK_Card,0,Master,159,5,1,3,1
270,2019-01-01 05:10:24,Austria,232,0,UK_Card,0,Visa,159,5,1,3,2
271,2019-01-01 05:10:27,Austria,232,1,Simplecard,0,Visa,160,5,1,2,2
272,2019-01-01 05:11:39,Germany,243,1,UK_Card,0,Master,160,5,1,3,1
273,2019-01-01 05:14:14,Germany,180,0,UK_Card,0,Visa,160,5,1,3,2
274,2019-01-01 05:14:28,Germany,180,0,UK_Card,0,Visa,161,5,1,3,2
275,2019-01-01 05:16:31,Austria,175,0,Moneycard,0,Visa,161,5,1,1,2
276,2019-01-01 05:17:05,Austria,175,0,UK_Card,0,Visa,162,5,1,3,2
277,2019-01-01 05:17:29,Austria,175,0,Moneycard,0,Visa,163,5,1,1,2
278,2019-01-01 05:18:00,Austria,175,1,UK_Card,0,Visa,164,5,1,3,2
279,2019-01-01 05:20:11,Austria,125,1,UK_Card,0,Visa,164,5,1,3,2
280,2019-01-01 05:23:13,Germany,247,0,Moneycard,1,Master,164,5,1,1,1
281,2019-01-01 05:24:09,Germany,247,0,Simplecard,1,Master,165,5,1,2,1
282,2019-01-01 05:24:58,Germany,247,0,UK_Card,1,Master,166,5,1,3,1
283,2019-01-01 05:25:39,Germany,247,1,UK_Card,1,Master,167,5,1,3,1
284,2019-01-01 05:29:46,Switzerland,246,0,Simplecard,0,Master,167,5,1,2,1
285,2019-01-01 05:32:43,Germany,117,0,Moneycard,0,Visa,167,5,1,1,2
286,2019-01-01 05:36:13,Germany,376,1,UK_Card,0,Master,167,5,1,3,1
287,2019-01-01 05:37:21,Germany,174,1,UK_Card,1,Master,167,5,1,3,1
288,2019-01-01 05:39:45,Germany,162,0,UK_Card,0,Diners,167,5,1,3,0
289,2019-01-01 05:40:39,Germany,162,0,UK_Card,0,Diners,168,5,1,3,0
290,2019-01-01 05:45:37,Switzerland,129,0,Simplecard,0,Diners,168,5,1,2,0
291,2019-01-01 05:46:54,Switzerland,215,0,Simplecard,0,Master,168,5,1,2,1
292,2019-01-01 05:49:14,Germany,355,0,UK_Card,0,Diners,168,5,1,3,0
293,2019-01-01 05:49:56,Germany,355,1,Simplecard,0,Diners,169,5,1,2,0
294,2019-01-01 05:52:45,Switzerland,135,0,UK_Card,0,Master,169,5,1,3,1
295,2019-01-01 05:53:17,Switzerland,135,0,UK_Card,0,Master,170,5,1,3,1
296,2019-01-01 05:54:07,Switzerland,135,0,Simplecard,0,Master,171,5,1,2,1
297,2019-01-01 05:54:11,Switzerland,135,0,UK_Card,0,Master,172,5,1,3,1
298,2019-01-01 05:54:12,Switzerland,135,0,UK_Card,0,Master,173,5,1,3,1
299,2019-01-01 05:55:44,Germany,188,0,UK_Card,0,Diners,173,5,1,3,0
300,2019-01-01 05:55:45,Germany,188,0,Moneycard,0,Diners,174,5,1,1,0
301,2019-01-01 05:56:16,Germany,188,0,UK_Card,0,Diners,175,5,1,3,0
302,2019-01-01 05:57:01,Germany,188,0,UK_Card,0,Diners,176,5,1,3,0
303,2019-01-01 05:57:42,Germany,188,1,Moneycard,0,Diners,177,5,1,1,0
304,2019-01-01 06:01:23,Switzerland,192,0,Moneycard,0,Visa,177,6,1,1,2
305,2019-01-01 06:02:51,Austria,180,0,Simplecard,0,Diners,177,6,1,2,0
306,2019-01-01 06:03:34,Austria,180,1,Goldcard,0,Diners,178,6,1,0,0
307,2019-01-01 06:05:19,Switzerland,38,1,Moneycard,0,Diners,178,6,1,1,0
308,2019-01-01 06:13:00,Germany,144,0,UK_Card,0,Master,178,6,1,3,1
